Sample_ID	Well_ID	Concentration	Type	Absorbance	Collection_date	Timepoint
Combo13	B2	1_mg_ml	Treatment	0.247	20201009	0
Combo13	B3	1_mg_ml	Treatment	0.263	20201009	0
Combo13	B6	0.1_mg_ml	Treatment	0.208	20201009	0
Combo13	B7	0.1_mg_ml	Treatment	0.201	20201009	0
L_cre_BM7	D10	None	Negative_Control	0.192	20201009	0
L_cre_BM7	D11	None	Negative_Control	0.187	20201009	0
L_cre_BM7	E10	None	Negative_Control	0.19	20201009	0
L_cre_BM7	E11	None	Negative_Control	0.188	20201009	0
L_cre_BM7	F10	None	Negative_Control	0.195	20201009	0
L_cre_BM7	F11	None	Negative_Control	0.192	20201009	0
Combo16	E2	1_mg_ml	Treatment	0.278	20201009	0
Combo16	E3	1_mg_ml	Treatment	0.283	20201009	0
Combo16	E6	0.1_mg_ml	Treatment	0.186	20201009	0
Combo16	E7	0.1_mg_ml	Treatment	0.183	20201009	0
Combo17	F2	1_mg_ml	Treatment	0.332	20201009	0
Combo17	F3	1_mg_ml	Treatment	0.325	20201009	0
Combo17	F6	0.1_mg_ml	Treatment	0.18	20201009	0
Combo17	F7	0.1_mg_ml	Treatment	0.192	20201009	0
Combo14	C2	1_mg_ml	Treatment	0.353	20201009	0
Combo14	C3	1_mg_ml	Treatment	0.371	20201009	0
Combo14	C6	0.1_mg_ml	Treatment	0.208	20201009	0
Combo14	C7	0.1_mg_ml	Treatment	0.225	20201009	0
Combo15	D2	1_mg_ml	Treatment	0.332	20201009	0
Combo15	D3	1_mg_ml	Treatment	0.305	20201009	0
Combo15	D6	0.1_mg_ml	Treatment	0.191	20201009	0
Combo15	D7	0.1_mg_ml	Treatment	0.201	20201009	0
Combo18	G2	1_mg_ml	Treatment	0.237	20201009	0
Combo18	G3	1_mg_ml	Treatment	0.241	20201009	0
Combo18	G6	0.1_mg_ml	Treatment	0.187	20201009	0
Combo18	G7	0.1_mg_ml	Treatment	0.193	20201009	0
Combo19	B4	1_mg_ml	Treatment	0.215	20201009	0
Combo19	B5	1_mg_ml	Treatment	0.219	20201009	0
Combo19	B8	0.1_mg_ml	Treatment	0.197	20201009	0
Combo19	B9	0.1_mg_ml	Treatment	0.193	20201009	0
Y4761	C10	0.005_mg_ml	Positive_Control	0.191	20201009	0
Y4761	C11	0.005_mg_ml	Positive_Control	0.195	20201009	0
PMB	B10	0.5_mg_ml	Positive_Control	0.184	20201009	0
PMB	B11	0.5_mg_ml	Positive_Control	0.197	20201009	0
Combo23	F4	1_mg_ml	Treatment	0.227	20201009	0
Combo23	F5	1_mg_ml	Treatment	0.237	20201009	0
Combo23	F8	0.1_mg_ml	Treatment	0.205	20201009	0
Combo23	F9	0.1_mg_ml	Treatment	0.191	20201009	0
Combo22	E4	1_mg_ml	Treatment	0.31	20201009	0
Combo22	E5	1_mg_ml	Treatment	0.317	20201009	0
Combo22	E8	0.1_mg_ml	Treatment	0.194	20201009	0
Combo22	E9	0.1_mg_ml	Treatment	0.193	20201009	0
Combo21	D4	1_mg_ml	Treatment	0.268	20201009	0
Combo21	D5	1_mg_ml	Treatment	0.299	20201009	0
Combo21	D8	0.1_mg_ml	Treatment	0.183	20201009	0
Combo21	D9	0.1_mg_ml	Treatment	0.205	20201009	0
Combo20	C4	1_mg_ml	Treatment	0.285	20201009	0
Combo20	C5	1_mg_ml	Treatment	0.273	20201009	0
Combo20	C8	0.1_mg_ml	Treatment	0.203	20201009	0
Combo20	C9	0.1_mg_ml	Treatment	0.193	20201009	0
BM7_only	G10	None	Blank	0.169	20201009	0
BM7_only	G11	None	Blank	0.181	20201009	0
Combo24	G4	1_mg_ml	Treatment	0.269	20201009	0
Combo24	G5	1_mg_ml	Treatment	0.246	20201009	0
Combo24	G8	0.1_mg_ml	Treatment	0.2	20201009	0
Combo24	G9	0.1_mg_ml	Treatment	0.199	20201009	0
Combo13	B2	1_mg_ml	Treatment	0.277	20201010	1
Combo13	B3	1_mg_ml	Treatment	0.302	20201010	1
Combo13	B6	0.1_mg_ml	Treatment	0.228	20201010	1
Combo13	B7	0.1_mg_ml	Treatment	0.22	20201010	1
L_cre_BM7	D10	None	Negative_Control	0.209	20201010	1
L_cre_BM7	D11	None	Negative_Control	0.198	20201010	1
L_cre_BM7	E10	None	Negative_Control	0.2	20201010	1
L_cre_BM7	E11	None	Negative_Control	0.202	20201010	1
L_cre_BM7	F10	None	Negative_Control	0.204	20201010	1
L_cre_BM7	F11	None	Negative_Control	0.205	20201010	1
Combo16	E2	1_mg_ml	Treatment	0.282	20201010	1
Combo16	E3	1_mg_ml	Treatment	0.335	20201010	1
Combo16	E6	0.1_mg_ml	Treatment	0.201	20201010	1
Combo16	E7	0.1_mg_ml	Treatment	0.205	20201010	1
Combo17	F2	1_mg_ml	Treatment	0.387	20201010	1
Combo17	F3	1_mg_ml	Treatment	0.359	20201010	1
Combo17	F6	0.1_mg_ml	Treatment	0.197	20201010	1
Combo17	F7	0.1_mg_ml	Treatment	0.207	20201010	1
Combo14	C2	1_mg_ml	Treatment	0.433	20201010	1
Combo14	C3	1_mg_ml	Treatment	0.43	20201010	1
Combo14	C6	0.1_mg_ml	Treatment	0.236	20201010	1
Combo14	C7	0.1_mg_ml	Treatment	0.247	20201010	1
Combo15	D2	1_mg_ml	Treatment	0.408	20201010	1
Combo15	D3	1_mg_ml	Treatment	0.383	20201010	1
Combo15	D6	0.1_mg_ml	Treatment	0.208	20201010	1
Combo15	D7	0.1_mg_ml	Treatment	0.222	20201010	1
Combo18	G2	1_mg_ml	Treatment	0.267	20201010	1
Combo18	G3	1_mg_ml	Treatment	0.26	20201010	1
Combo18	G6	0.1_mg_ml	Treatment	0.204	20201010	1
