Sample_ID	Well_ID	Concentration	Type	Absorbance	Collection_date	Timepoint
Combo104	C4	1_mg_ml	Treatment	0.233	20201106	0
Combo104	C5	1_mg_ml	Treatment	0.238	20201106	0
Combo104	C8	0.1_mg_ml	Treatment	0.199	20201106	0
Combo104	C9	0.1_mg_ml	Treatment	0.2	20201106	0
BM7_only	G10	None	Blank	0.171	20201106	0
BM7_only	G11	None	Blank	0.172	20201106	0
PMB	B10	0.5_mg_ml	Positive_Control	0.197	20201106	0
PMB	B11	0.5_mg_ml	Positive_Control	0.211	20201106	0
L_cre_BM7	D10	None	Negative_Control	0.201	20201106	0
L_cre_BM7	D11	None	Negative_Control	0.199	20201106	0
L_cre_BM7	E10	None	Negative_Control	0.194	20201106	0
L_cre_BM7	E11	None	Negative_Control	0.192	20201106	0
L_cre_BM7	F10	None	Negative_Control	0.193	20201106	0
L_cre_BM7	F11	None	Negative_Control	0.19	20201106	0
Y4761	C10	0.005_mg_ml	Positive_Control	0.192	20201106	0
Y4761	C11	0.005_mg_ml	Positive_Control	0.193	20201106	0
Combo105	D4	1_mg_ml	Treatment	0.23	20201106	0
Combo105	D5	1_mg_ml	Treatment	0.254	20201106	0
Combo105	D8	0.1_mg_ml	Treatment	0.193	20201106	0
Combo105	D9	0.1_mg_ml	Treatment	0.199	20201106	0
Combo107	F4	1_mg_ml	Treatment	0.229	20201106	0
Combo107	F5	1_mg_ml	Treatment	0.224	20201106	0
Combo107	F8	0.1_mg_ml	Treatment	0.19	20201106	0
Combo107	F9	0.1_mg_ml	Treatment	0.198	20201106	0
Combo106	E4	1_mg_ml	Treatment	0.253	20201106	0
Combo106	E5	1_mg_ml	Treatment	0.246	20201106	0
Combo106	E8	0.1_mg_ml	Treatment	0.19	20201106	0
Combo106	E9	0.1_mg_ml	Treatment	0.185	20201106	0
Combo98	C2	1_mg_ml	Treatment	0.253	20201106	0
Combo98	C3	1_mg_ml	Treatment	0.25	20201106	0
Combo98	C6	0.1_mg_ml	Treatment	0.186	20201106	0
Combo98	C7	0.1_mg_ml	Treatment	0.198	20201106	0
Combo99	D2	1_mg_ml	Treatment	0.25	20201106	0
Combo99	D3	1_mg_ml	Treatment	0.238	20201106	0
Combo99	D6	0.1_mg_ml	Treatment	0.175	20201106	0
Combo99	D7	0.1_mg_ml	Treatment	0.189	20201106	0
Combo103	B4	1_mg_ml	Treatment	0.286	20201106	0
Combo103	B5	1_mg_ml	Treatment	0.262	20201106	0
Combo103	B8	0.1_mg_ml	Treatment	0.199	20201106	0
Combo103	B9	0.1_mg_ml	Treatment	0.211	20201106	0
Combo102	G2	1_mg_ml	Treatment	0.262	20201106	0
Combo102	G3	1_mg_ml	Treatment	0.291	20201106	0
Combo102	G6	0.1_mg_ml	Treatment	0.193	20201106	0
Combo102	G7	0.1_mg_ml	Treatment	0.202	20201106	0
Combo101	F2	1_mg_ml	Treatment	0.244	20201106	0
Combo101	F3	1_mg_ml	Treatment	0.262	20201106	0
Combo101	F6	0.1_mg_ml	Treatment	0.189	20201106	0
Combo101	F7	0.1_mg_ml	Treatment	0.195	20201106	0
Combo100	E2	1_mg_ml	Treatment	0.254	20201106	0
Combo100	E3	1_mg_ml	Treatment	0.251	20201106	0
Combo100	E6	0.1_mg_ml	Treatment	0.183	20201106	0
Combo100	E7	0.1_mg_ml	Treatment	0.19	20201106	0
Combo97	B2	1_mg_ml	Treatment	0.31	20201106	0
Combo97	B3	1_mg_ml	Treatment	0.295	20201106	0
Combo97	B6	0.1_mg_ml	Treatment	0.211	20201106	0
Combo97	B7	0.1_mg_ml	Treatment	0.228	20201106	0
Combo108	G4	1_mg_ml	Treatment	0.231	20201106	0
Combo108	G5	1_mg_ml	Treatment	0.246	20201106	0
Combo108	G8	0.1_mg_ml	Treatment	0.197	20201106	0
Combo108	G9	0.1_mg_ml	Treatment	0.193	20201106	0
Combo104	C4	1_mg_ml	Treatment	0.321	20201108	1
Combo104	C5	1_mg_ml	Treatment	0.313	20201108	1
Combo104	C8	0.1_mg_ml	Treatment	0.273	20201108	1
Combo104	C9	0.1_mg_ml	Treatment	0.271	20201108	1
BM7_only	G10	None	Blank	0.177	20201108	1
BM7_only	G11	None	Blank	0.177	20201108	1
PMB	B10	0.5_mg_ml	Positive_Control	0.193	20201108	1
PMB	B11	0.5_mg_ml	Positive_Control	0.19	20201108	1
L_cre_BM7	D10	None	Negative_Control	0.274	20201108	1
