Sample_ID	Well_ID	Concentration	Type	Absorbance	Collection_date	Timepoint
L_cre_BM7	D10	None	Negative_Control	0.194	20201106	0
L_cre_BM7	D11	None	Negative_Control	0.203	20201106	0
L_cre_BM7	E10	None	Negative_Control	0.195	20201106	0
L_cre_BM7	E11	None	Negative_Control	0.195	20201106	0
L_cre_BM7	F10	None	Negative_Control	0.198	20201106	0
L_cre_BM7	F11	None	Negative_Control	0.193	20201106	0
PMB	B10	0.5_mg_ml	Positive_Control	0.192	20201106	0
PMB	B11	0.5_mg_ml	Positive_Control	0.203	20201106	0
Combo60	G4	1_mg_ml	Treatment	0.342	20201106	0
Combo60	G5	1_mg_ml	Treatment	0.321	20201106	0
Combo60	G8	0.1_mg_ml	Treatment	0.207	20201106	0
Combo60	G9	0.1_mg_ml	Treatment	0.215	20201106	0
Y4761	C10	0.005_mg_ml	Positive_Control	0.196	20201106	0
Y4761	C11	0.005_mg_ml	Positive_Control	0.208	20201106	0
BM7_only	G10	None	Blank	0.171	20201106	0
BM7_only	G11	None	Blank	0.18	20201106	0
Combo56	C4	1_mg_ml	Treatment	0.39	20201106	0
Combo56	C5	1_mg_ml	Treatment	0.394	20201106	0
Combo56	C8	0.1_mg_ml	Treatment	0.218	20201106	0
Combo56	C9	0.1_mg_ml	Treatment	0.216	20201106	0
Combo58	E4	1_mg_ml	Treatment	0.364	20201106	0
Combo58	E5	1_mg_ml	Treatment	0.335	20201106	0
Combo58	E8	0.1_mg_ml	Treatment	0.206	20201106	0
Combo58	E9	0.1_mg_ml	Treatment	0.211	20201106	0
Combo59	F4	1_mg_ml	Treatment	0.341	20201106	0
Combo59	F5	1_mg_ml	Treatment	0.336	20201106	0
Combo59	F8	0.1_mg_ml	Treatment	0.211	20201106	0
Combo59	F9	0.1_mg_ml	Treatment	0.221	20201106	0
Combo49	B2	1_mg_ml	Treatment	0.404	20201106	0
Combo49	B3	1_mg_ml	Treatment	0.338	20201106	0
Combo49	B6	0.1_mg_ml	Treatment	0.227	20201106	0
Combo49	B7	0.1_mg_ml	Treatment	0.216	20201106	0
Combo57	D4	1_mg_ml	Treatment	0.342	20201106	0
Combo57	D5	1_mg_ml	Treatment	0.336	20201106	0
Combo57	D8	0.1_mg_ml	Treatment	0.209	20201106	0
Combo57	D9	0.1_mg_ml	Treatment	0.21	20201106	0
Combo54	G2	1_mg_ml	Treatment	0.353	20201106	0
Combo54	G3	1_mg_ml	Treatment	0.348	20201106	0
Combo54	G6	0.1_mg_ml	Treatment	0.214	20201106	0
Combo54	G7	0.1_mg_ml	Treatment	0.212	20201106	0
Combo55	B4	1_mg_ml	Treatment	0.361	20201106	0
Combo55	B5	1_mg_ml	Treatment	0.362	20201106	0
Combo55	B8	0.1_mg_ml	Treatment	0.222	20201106	0
Combo55	B9	0.1_mg_ml	Treatment	0.226	20201106	0
Combo52	E2	1_mg_ml	Treatment	0.377	20201106	0
Combo52	E3	1_mg_ml	Treatment	0.334	20201106	0
Combo52	E6	0.1_mg_ml	Treatment	0.205	20201106	0
Combo52	E7	0.1_mg_ml	Treatment	0.195	20201106	0
Combo53	F2	1_mg_ml	Treatment	0.491	20201106	0
Combo53	F3	1_mg_ml	Treatment	0.47	20201106	0
Combo53	F6	0.1_mg_ml	Treatment	0.207	20201106	0
Combo53	F7	0.1_mg_ml	Treatment	0.221	20201106	0
Combo50	C2	1_mg_ml	Treatment	0.509	20201106	0
Combo50	C3	1_mg_ml	Treatment	0.441	20201106	0
Combo50	C6	0.1_mg_ml	Treatment	0.217	20201106	0
Combo50	C7	0.1_mg_ml	Treatment	0.22	20201106	0
Combo51	D2	1_mg_ml	Treatment	0.358	20201106	0
Combo51	D3	1_mg_ml	Treatment	0.356	20201106	0
Combo51	D6	0.1_mg_ml	Treatment	0.195	20201106	0
Combo51	D7	0.1_mg_ml	Treatment	0.195	20201106	0
L_cre_BM7	D10	None	Negative_Control	0.26	20201108	1
L_cre_BM7	D11	None	Negative_Control	0.269	20201108	1
L_cre_BM7	E10	None	Negative_Control	0.256	20201108	1
L_cre_BM7	E11	None	Negative_Control	0.266	20201108	1
L_cre_BM7	F10	None	Negative_Control	0.265	20201108	1
L_cre_BM7	F11	None	Negative_Control	0.263	20201108	1
PMB	B10	0.5_mg_ml	Positive_Control	0.197	20201108	1
PMB	B11	0.5_mg_ml	Positive_Control	0.206	20201108	1
Combo60	G4	1_mg_ml	Treatment	0.51	20201108	1
Combo60	G5	1_mg_ml	Treatment	0.356	20201108	1
Combo60	G8	0.1_mg_ml	Treatment	0.277	20201108	1
Combo60	G9	0.1_mg_ml	Treatment	0.274	20201108	1
Y4761	C10	0.005_mg_ml	Positive_Control	0.207	20201108	1
Y4761	C11	0.005_mg_ml	Positive_Control	0.215	20201108	1
BM7_only	G10	None	Blank	0.172	20201108	1
BM7_only	G11	None	Blank	0.18	20201108	1
Combo56	C4	1_mg_ml	Treatment	0.425	20201108	1
Combo56	C5	1_mg_ml	Treatment	0.41	20201108	1
Combo56	C8	0.1_mg_ml	Treatment	0.281	20201108	1
Combo56	C9	0.1_mg_ml	Treatment	0.275	20201108	1
Combo58	E4	1_mg_ml	Treatment	0.375	20201108	1
Combo58	E5	1_mg_ml	Treatment	0.393	20201108	1
Combo58	E8	0.1_mg_ml	Treatment	0.276	20201108	1
Combo58	E9	0.1_mg_ml	Treatment	0.256	20201108	1
Combo59	F4	1_mg_ml	Treatment	0.344	20201108	1
Combo59	F5	1_mg_ml	Treatment	0.398	20201108	1
Combo59	F8	0.1_mg_ml	Treatment	0.281	20201108	1
Combo59	F9	0.1_mg_ml	Treatment	0.286	20201108	1
Combo49	B2	1_mg_ml	Treatment	0.347	20201108	1
Combo49	B3	1_mg_ml	Treatment	0.369	20201108	1
Combo49	B6	0.1_mg_ml	Treatment	0.282	20201108	1
Combo49	B7	0.1_mg_ml	Treatment	0.272	20201108	1
Combo57	D4	1_mg_ml	Treatment	0.404	20201108	1
Combo57	D5	1_mg_ml	Treatment	0.388	20201108	1
Combo57	D8	0.1_mg_ml	Treatment	0.271	20201108	1
Combo57	D9	0.1_mg_ml	Treatment	0.272	20201108	1
Combo54	G2	1_mg_ml	Treatment	0.487	20201108	1
Combo54	G3	1_mg_ml	Treatment	0.44	20201108	1
Combo54	G6	0.1_mg_ml	Treatment	0.272	20201108	1
Combo54	G7	0.1_mg_ml	Treatment	0.283	20201108	1
Combo55	B4	1_mg_ml	Treatment	0.443	20201108	1
Combo55	B5	1_mg_ml	Treatment	0.417	20201108	1
Combo55	B8	0.1_mg_ml	Treatment	0.278	20201108	1
Combo55	B9	0.1_mg_ml	Treatment	0.277	20201108	1
Combo52	E2	1_mg_ml	Treatment	0.452	20201108	1
Combo52	E3	1_mg_ml	Treatment	0.41	20201108	1
Combo52	E6	0.1_mg_ml	Treatment	0.265	20201108	1
Combo52	E7	0.1_mg_ml	Treatment	0.263	20201108	1
Combo53	F2	1_mg_ml	Treatment	0.544	20201108	1
Combo53	F3	1_mg_ml	Treatment	0.549	20201108	1
Combo53	F6	0.1_mg_ml	Treatment	0.282	20201108	1
Combo53	F7	0.1_mg_ml	Treatment	0.289	20201108	1
Combo50	C2	1_mg_ml	Treatment	0.429	20201108	1
Combo50	C3	1_mg_ml	Treatment	0.437	20201108	1
Combo50	C6	0.1_mg_ml	Treatment	0.269	20201108	1
Combo50	C7	0.1_mg_ml	Treatment	0.269	20201108	1
Combo51	D2	1_mg_ml	Treatment	0.395	20201108	1
Combo51	D3	1_mg_ml	Treatment	0.384	20201108	1
Combo51	D6	0.1_mg_ml	Treatment	0.263	20201108	1
Combo51	D7	0.1_mg_ml	Treatment	0.265	20201108	1
L_cre_BM7	D10	None	Negative_Control	0.496	20201109	2
L_cre_BM7	D11	None	Negative_Control	0.436	20201109	2
L_cre_BM7	E10	None	Negative_Control	0.531	20201109	2
L_cre_BM7	E11	None	Negative_Control	0.426	20201109	2
L_cre_BM7	F10	None	Negative_Control	0.498	20201109	2
L_cre_BM7	F11	None	Negative_Control	0.512	20201109	2
PMB	B10	0.5_mg_ml	Positive_Control	0.201	20201109	2
PMB	B11	0.5_mg_ml	Positive_Control	0.205	20201109	2
Combo60	G4	1_mg_ml	Treatment	0.785	20201109	2
Combo60	G5	1_mg_ml	Treatment	0.511	20201109	2
Combo60	G8	0.1_mg_ml	Treatment	0.398	20201109	2
Combo60	G9	0.1_mg_ml	Treatment	0.415	20201109	2
Y4761	C10	0.005_mg_ml	Positive_Control	0.266	20201109	2
Y4761	C11	0.005_mg_ml	Positive_Control	0.246	20201109	2
BM7_only	G10	None	Blank	0.172	20201109	2
BM7_only	G11	None	Blank	0.18	20201109	2
Combo56	C4	1_mg_ml	Treatment	0.675	20201109	2
Combo56	C5	1_mg_ml	Treatment	0.597	20201109	2
Combo56	C8	0.1_mg_ml	Treatment	0.418	20201109	2
Combo56	C9	0.1_mg_ml	Treatment	0.401	20201109	2
Combo58	E4	1_mg_ml	Treatment	0.553	20201109	2
Combo58	E5	1_mg_ml	Treatment	0.589	20201109	2
Combo58	E8	0.1_mg_ml	Treatment	0.463	20201109	2
Combo58	E9	0.1_mg_ml	Treatment	0.401	20201109	2
Combo59	F4	1_mg_ml	Treatment	0.528	20201109	2
Combo59	F5	1_mg_ml	Treatment	0.577	20201109	2
Combo59	F8	0.1_mg_ml	Treatment	0.46	20201109	2
Combo59	F9	0.1_mg_ml	Treatment	0.414	20201109	2
Combo49	B2	1_mg_ml	Treatment	0.557	20201109	2
Combo49	B3	1_mg_ml	Treatment	0.468	20201109	2
Combo49	B6	0.1_mg_ml	Treatment	0.393	20201109	2
Combo49	B7	0.1_mg_ml	Treatment	0.388	20201109	2
Combo57	D4	1_mg_ml	Treatment	0.626	20201109	2
Combo57	D5	1_mg_ml	Treatment	0.733	20201109	2
Combo57	D8	0.1_mg_ml	Treatment	0.397	20201109	2
Combo57	D9	0.1_mg_ml	Treatment	0.502	20201109	2
Combo54	G2	1_mg_ml	Treatment	0.633	20201109	2
Combo54	G3	1_mg_ml	Treatment	0.668	20201109	2
Combo54	G6	0.1_mg_ml	Treatment	0.392	20201109	2
Combo54	G7	0.1_mg_ml	Treatment	0.445	20201109	2
Combo55	B4	1_mg_ml	Treatment	0.759	20201109	2
Combo55	B5	1_mg_ml	Treatment	0.584	20201109	2
Combo55	B8	0.1_mg_ml	Treatment	0.411	20201109	2
Combo55	B9	0.1_mg_ml	Treatment	0.395	20201109	2
Combo52	E2	1_mg_ml	Treatment	0.679	20201109	2
Combo52	E3	1_mg_ml	Treatment	0.63	20201109	2
Combo52	E6	0.1_mg_ml	Treatment	0.479	20201109	2
Combo52	E7	0.1_mg_ml	Treatment	0.379	20201109	2
Combo53	F2	1_mg_ml	Treatment	0.856	20201109	2
Combo53	F3	1_mg_ml	Treatment	0.864	20201109	2
Combo53	F6	0.1_mg_ml	Treatment	0.495	20201109	2
Combo53	F7	0.1_mg_ml	Treatment	0.42	20201109	2
Combo50	C2	1_mg_ml	Treatment	0.854	20201109	2
Combo50	C3	1_mg_ml	Treatment	0.78	20201109	2
Combo50	C6	0.1_mg_ml	Treatment	0.515	20201109	2
Combo50	C7	0.1_mg_ml	Treatment	0.435	20201109	2
Combo51	D2	1_mg_ml	Treatment	0.743	20201109	2
Combo51	D3	1_mg_ml	Treatment	0.656	20201109	2
Combo51	D6	0.1_mg_ml	Treatment	0.491	20201109	2
Combo51	D7	0.1_mg_ml	Treatment	0.45	20201109	2
L_cre_BM7	D10	None	Negative_Control	0.685	20201109	3
L_cre_BM7	D11	None	Negative_Control	0.601	20201109	3
L_cre_BM7	E10	None	Negative_Control	0.743	20201109	3
L_cre_BM7	E11	None	Negative_Control	0.641	20201109	3
L_cre_BM7	F10	None	Negative_Control	0.689	20201109	3
L_cre_BM7	F11	None	Negative_Control	0.703	20201109	3
PMB	B10	0.5_mg_ml	Positive_Control	0.212	20201109	3
PMB	B11	0.5_mg_ml	Positive_Control	0.203	20201109	3
Combo60	G4	1_mg_ml	Treatment	0.876	20201109	3
Combo60	G5	1_mg_ml	Treatment	0.642	20201109	3
Combo60	G8	0.1_mg_ml	Treatment	0.538	20201109	3
Combo60	G9	0.1_mg_ml	Treatment	0.567	20201109	3
Y4761	C10	0.005_mg_ml	Positive_Control	0.295	20201109	3
Y4761	C11	0.005_mg_ml	Positive_Control	0.25	20201109	3
BM7_only	G10	None	Blank	0.173	20201109	3
BM7_only	G11	None	Blank	0.181	20201109	3
Combo56	C4	1_mg_ml	Treatment	0.815	20201109	3
