Sample_ID	Well_ID	Concentration	Type	Absorbance	Collection_date	Timepoint
Combo91	B4	1_mg_ml	Treatment	0.257	20201106	0
Combo91	B5	1_mg_ml	Treatment	0.257	20201106	0
Combo91	B8	0.1_mg_ml	Treatment	0.2	20201106	0
Combo91	B9	0.1_mg_ml	Treatment	0.208	20201106	0
L_cre_BM7	D10	None	Negative_Control	0.19	20201106	0
L_cre_BM7	D11	None	Negative_Control	0.193	20201106	0
L_cre_BM7	E10	None	Negative_Control	0.181	20201106	0
L_cre_BM7	E11	None	Negative_Control	0.187	20201106	0
L_cre_BM7	F10	None	Negative_Control	0.183	20201106	0
L_cre_BM7	F11	None	Negative_Control	0.181	20201106	0
Y4761	C10	0.005_mg_ml	Positive_Control	0.185	20201106	0
Y4761	C11	0.005_mg_ml	Positive_Control	0.189	20201106	0
BM7_only	G10	None	Blank	0.171	20201106	0
BM7_only	G11	None	Blank	0.173	20201106	0
Combo92	C4	1_mg_ml	Treatment	0.25	20201106	0
Combo92	C5	1_mg_ml	Treatment	0.246	20201106	0
Combo92	C8	0.1_mg_ml	Treatment	0.196	20201106	0
Combo92	C9	0.1_mg_ml	Treatment	0.2	20201106	0
Combo89	F2	1_mg_ml	Treatment	0.258	20201106	0
Combo89	F3	1_mg_ml	Treatment	0.248	20201106	0
Combo89	F6	0.1_mg_ml	Treatment	0.188	20201106	0
Combo89	F7	0.1_mg_ml	Treatment	0.196	20201106	0
Combo88	E2	1_mg_ml	Treatment	0.251	20201106	0
Combo88	E3	1_mg_ml	Treatment	0.254	20201106	0
Combo88	E6	0.1_mg_ml	Treatment	0.188	20201106	0
Combo88	E7	0.1_mg_ml	Treatment	0.197	20201106	0
PMB	B10	0.5_mg_ml	Positive_Control	0.185	20201106	0
PMB	B11	0.5_mg_ml	Positive_Control	0.193	20201106	0
Combo85	B2	1_mg_ml	Treatment	0.234	20201106	0
Combo85	B3	1_mg_ml	Treatment	0.264	20201106	0
Combo85	B6	0.1_mg_ml	Treatment	0.193	20201106	0
Combo85	B7	0.1_mg_ml	Treatment	0.198	20201106	0
Combo93	D4	1_mg_ml	Treatment	0.234	20201106	0
Combo93	D5	1_mg_ml	Treatment	0.225	20201106	0
Combo93	D8	0.1_mg_ml	Treatment	0.198	20201106	0
Combo93	D9	0.1_mg_ml	Treatment	0.196	20201106	0
Combo87	D2	1_mg_ml	Treatment	0.23	20201106	0
Combo87	D3	1_mg_ml	Treatment	0.233	20201106	0
Combo87	D6	0.1_mg_ml	Treatment	0.188	20201106	0
Combo87	D7	0.1_mg_ml	Treatment	0.204	20201106	0
Combo86	C2	1_mg_ml	Treatment	0.233	20201106	0
Combo86	C3	1_mg_ml	Treatment	0.232	20201106	0
Combo86	C6	0.1_mg_ml	Treatment	0.186	20201106	0
Combo86	C7	0.1_mg_ml	Treatment	0.185	20201106	0
Combo96	G4	1_mg_ml	Treatment	0.245	20201106	0
Combo96	G5	1_mg_ml	Treatment	0.262	20201106	0
Combo96	G8	0.1_mg_ml	Treatment	0.204	20201106	0
