Sample_ID	Well_ID	Concentration	Type	Absorbance	Collection_date	Timepoint
L_cre_BM7	D10	None	Negative_Control	0.197	20201106	0
L_cre_BM7	D11	None	Negative_Control	0.202	20201106	0
L_cre_BM7	E10	None	Negative_Control	0.188	20201106	0
L_cre_BM7	E11	None	Negative_Control	0.194	20201106	0
L_cre_BM7	F10	None	Negative_Control	0.185	20201106	0
L_cre_BM7	F11	None	Negative_Control	0.194	20201106	0
Combo128	C4	1_mg_ml	Treatment	0.23	20201106	0
Combo128	C5	1_mg_ml	Treatment	0.235	20201106	0
Combo128	C8	0.1_mg_ml	Treatment	0.197	20201106	0
Combo128	C9	0.1_mg_ml	Treatment	0.198	20201106	0
Combo125	F2	1_mg_ml	Treatment	0.245	20201106	0
Combo125	F3	1_mg_ml	Treatment	0.245	20201106	0
Combo125	F6	0.1_mg_ml	Treatment	0.177	20201106	0
Combo125	F7	0.1_mg_ml	Treatment	0.184	20201106	0
Combo124	E2	1_mg_ml	Treatment	0.254	20201106	0
Combo124	E3	1_mg_ml	Treatment	0.241	20201106	0
Combo124	E6	0.1_mg_ml	Treatment	0.18	20201106	0
Combo124	E7	0.1_mg_ml	Treatment	0.183	20201106	0
Combo127	B4	1_mg_ml	Treatment	0.231	20201106	0
Combo127	B5	1_mg_ml	Treatment	0.229	20201106	0
Combo127	B8	0.1_mg_ml	Treatment	0.197	20201106	0
Combo127	B9	0.1_mg_ml	Treatment	0.208	20201106	0
Combo126	G2	1_mg_ml	Treatment	0.21	20201106	0
Combo126	G3	1_mg_ml	Treatment	0.245	20201106	0
Combo126	G6	0.1_mg_ml	Treatment	0.179	20201106	0
Combo126	G7	0.1_mg_ml	Treatment	0.186	20201106	0
Combo121	B2	1_mg_ml	Treatment	0.236	20201106	0
Combo121	B3	1_mg_ml	Treatment	0.256	20201106	0
Combo121	B6	0.1_mg_ml	Treatment	0.187	20201106	0
Combo121	B7	0.1_mg_ml	Treatment	0.201	20201106	0
Combo123	D2	1_mg_ml	Treatment	0.232	20201106	0
Combo123	D3	1_mg_ml	Treatment	0.237	20201106	0
Combo123	D6	0.1_mg_ml	Treatment	0.177	20201106	0
Combo123	D7	0.1_mg_ml	Treatment	0.193	20201106	0
Combo122	C2	1_mg_ml	Treatment	0.236	20201106	0
Combo122	C3	1_mg_ml	Treatment	0.241	20201106	0
Combo122	C6	0.1_mg_ml	Treatment	0.187	20201106	0
Combo122	C7	0.1_mg_ml	Treatment	0.191	20201106	0
PMB	B10	0.5_mg_ml	Positive_Control	0.19	20201106	0
PMB	B11	0.5_mg_ml	Positive_Control	0.197	20201106	0
Y4761	C10	0.005_mg_ml	Positive_Control	0.191	20201106	0
Y4761	C11	0.005_mg_ml	Positive_Control	0.194	20201106	0
BM7_only	G10	None	Blank	0.171	20201106	0
BM7_only	G11	None	Blank	0.174	20201106	0
L_cre_BM7	D10	None	Negative_Control	0.387	20201109	2
L_cre_BM7	D11	None	Negative_Control	0.339	20201109	2
L_cre_BM7	E10	None	Negative_Control	0.482	20201109	2
L_cre_BM7	E11	None	Negative_Control	0.346	20201109	2
L_cre_BM7	F10	None	Negative_Control	0.459	20201109	2
L_cre_BM7	F11	None	Negative_Control	0.34	20201109	2
Combo128	C4	1_mg_ml	Treatment	0.501	20201109	2
Combo128	C5	1_mg_ml	Treatment	0.472	20201109	2
Combo128	C8	0.1_mg_ml	Treatment	0.375	20201109	2
Combo128	C9	0.1_mg_ml	Treatment	0.377	20201109	2
Combo125	F2	1_mg_ml	Treatment	0.35	20201109	2
Combo125	F3	1_mg_ml	Treatment	0.467	20201109	2
Combo125	F6	0.1_mg_ml	Treatment	0.373	20201109	2
Combo125	F7	0.1_mg_ml	Treatment	0.365	20201109	2
Combo124	E2	1_mg_ml	Treatment	0.472	20201109	2
Combo124	E3	1_mg_ml	Treatment	0.519	20201109	2
Combo124	E6	0.1_mg_ml	Treatment	0.377	20201109	2
Combo124	E7	0.1_mg_ml	Treatment	0.366	20201109	2
Combo127	B4	1_mg_ml	Treatment	0.464	20201109	2
Combo127	B5	1_mg_ml	Treatment	0.423	20201109	2
Combo127	B8	0.1_mg_ml	Treatment	0.357	20201109	2
Combo127	B9	0.1_mg_ml	Treatment	0.361	20201109	2
Combo126	G2	1_mg_ml	Treatment	0.323	20201109	2
Combo126	G3	1_mg_ml	Treatment	0.404	20201109	2
Combo126	G6	0.1_mg_ml	Treatment	0.366	20201109	2
Combo126	G7	0.1_mg_ml	Treatment	0.378	20201109	2
