Sample_ID	Well_ID	Concentration	Type	Absorbance	Collection_date	Timepoint
803511	D4	1_mg_ml	Treatment	0.307	20200824	0
803511	D5	1_mg_ml	Treatment	0.293	20200824	0
803511	D8	0.1_mg_ml	Treatment	0.174	20200824	0
803511	D9	0.1_mg_ml	Treatment	0.179	20200824	0
803503	B2	1_mg_ml	Treatment	0.178	20200824	0
803503	B3	1_mg_ml	Treatment	0.177	20200824	0
803503	B6	0.1_mg_ml	Treatment	0.17	20200824	0
803503	B7	0.1_mg_ml	Treatment	0.173	20200824	0
803513	F4	1_mg_ml	Treatment	0.192	20200824	0
803513	F5	1_mg_ml	Treatment	0.191	20200824	0
803513	F8	0.1_mg_ml	Treatment	0.166	20200824	0
803513	F9	0.1_mg_ml	Treatment	0.172	20200824	0
803512	E4	1_mg_ml	Treatment	0.173	20200824	0
803512	E5	1_mg_ml	Treatment	0.175	20200824	0
803512	E8	0.1_mg_ml	Treatment	0.163	20200824	0
803512	E9	0.1_mg_ml	Treatment	0.163	20200824	0
803506	E2	1_mg_ml	Treatment	0.247	20200824	0
803506	E3	1_mg_ml	Treatment	0.241	20200824	0
803506	E6	0.1_mg_ml	Treatment	0.159	20200824	0
803506	E7	0.1_mg_ml	Treatment	0.166	20200824	0
803507	F2	1_mg_ml	Treatment	0.231	20200824	0
803507	F3	1_mg_ml	Treatment	0.203	20200824	0
803507	F6	0.1_mg_ml	Treatment	0.164	20200824	0
803507	F7	0.1_mg_ml	Treatment	0.17	20200824	0
803504	C2	1_mg_ml	Treatment	0.189	20200824	0
803504	C3	1_mg_ml	Treatment	0.193	20200824	0
803504	C6	0.1_mg_ml	Treatment	0.164	20200824	0
803504	C7	0.1_mg_ml	Treatment	0.169	20200824	0
803505	D2	1_mg_ml	Treatment	0.189	20200824	0
803505	D3	1_mg_ml	Treatment	0.172	20200824	0
803505	D6	0.1_mg_ml	Treatment	0.157	20200824	0
803505	D7	0.1_mg_ml	Treatment	0.166	20200824	0
803508	G2	1_mg_ml	Treatment	0.169	20200824	0
803508	G3	1_mg_ml	Treatment	0.175	20200824	0
803508	G6	0.1_mg_ml	Treatment	0.165	20200824	0
803508	G7	0.1_mg_ml	Treatment	0.172	20200824	0
803509	B4	1_mg_ml	Treatment	0.329	20200824	0
803509	B5	1_mg_ml	Treatment	0.361	20200824	0
803509	B8	0.1_mg_ml	Treatment	0.177	20200824	0
803509	B9	0.1_mg_ml	Treatment	0.188	20200824	0
Y4761	C10	0.005_mg_ml	Positive_Control	0.181	20200824	0
Y4761	C11	0.005_mg_ml	Positive_Control	0.178	20200824	0
PMB	B10	0.5_mg_ml	Positive_Control	0.176	20200824	0
PMB	B11	0.5_mg_ml	Positive_Control	0.175	20200824	0
L_cre_BM7	D10	None	Negative_Control	0.181	20200824	0
L_cre_BM7	D11	None	Negative_Control	0.182	20200824	0
L_cre_BM7	E10	None	Negative_Control	0.174	20200824	0
L_cre_BM7	E11	None	Negative_Control	0.174	20200824	0
L_cre_BM7	F10	None	Negative_Control	0.172	20200824	0
L_cre_BM7	F11	None	Negative_Control	0.178	20200824	0
BM7_only	G10	None	Blank	0.165	20200824	0
BM7_only	G11	None	Blank	0.165	20200824	0
803510	C4	1_mg_ml	Treatment	0.285	20200824	0
803510	C5	1_mg_ml	Treatment	0.278	20200824	0
803510	C8	0.1_mg_ml	Treatment	0.179	20200824	0
803510	C9	0.1_mg_ml	Treatment	0.195	20200824	0
803514	G4	1_mg_ml	Treatment	0.95	20200824	0
803514	G5	1_mg_ml	Treatment	0.959	20200824	0
803514	G8	0.1_mg_ml	Treatment	0.198	20200824	0
803514	G9	0.1_mg_ml	Treatment	0.2	20200824	0
803511	D4	1_mg_ml	Treatment	0.337	20200825	1
803511	D5	1_mg_ml	Treatment	0.332	20200825	1
803511	D8	0.1_mg_ml	Treatment	0.189	20200825	1
803511	D9	0.1_mg_ml	Treatment	0.242	20200825	1
803503	B2	1_mg_ml	Treatment	0.18	20200825	1
803503	B3	1_mg_ml	Treatment	0.181	20200825	1
803503	B6	0.1_mg_ml	Treatment	0.181	20200825	1
803503	B7	0.1_mg_ml	Treatment	0.185	20200825	1
803513	F4	1_mg_ml	Treatment	0.196	20200825	1
803513	F5	1_mg_ml	Treatment	0.196	20200825	1
803513	F8	0.1_mg_ml	Treatment	0.174	20200825	1
803513	F9	0.1_mg_ml	Treatment	0.178	20200825	1
803512	E4	1_mg_ml	Treatment	0.321	20200825	1
803512	E5	1_mg_ml	Treatment	0.293	20200825	1
803512	E8	0.1_mg_ml	Treatment	0.177	20200825	1
803512	E9	0.1_mg_ml	Treatment	0.167	20200825	1
803506	E2	1_mg_ml	Treatment	0.616	20200825	1
803506	E3	1_mg_ml	Treatment	0.565	20200825	1
803506	E6	0.1_mg_ml	Treatment	0.173	20200825	1
803506	E7	0.1_mg_ml	Treatment	0.18	20200825	1
803507	F2	1_mg_ml	Treatment	0.315	20200825	1
803507	F3	1_mg_ml	Treatment	0.256	20200825	1
803507	F6	0.1_mg_ml	Treatment	0.17	20200825	1
803507	F7	0.1_mg_ml	Treatment	0.177	20200825	1
803504	C2	1_mg_ml	Treatment	0.209	20200825	1
803504	C3	1_mg_ml	Treatment	0.214	20200825	1
803504	C6	0.1_mg_ml	Treatment	0.176	20200825	1
803504	C7	0.1_mg_ml	Treatment	0.185	20200825	1
803505	D2	1_mg_ml	Treatment	0.191	20200825	1
803505	D3	1_mg_ml	Treatment	0.178	20200825	1
803505	D6	0.1_mg_ml	Treatment	0.166	20200825	1
803505	D7	0.1_mg_ml	Treatment	0.18	20200825	1
803508	G2	1_mg_ml	Treatment	0.18	20200825	1
803508	G3	1_mg_ml	Treatment	0.171	20200825	1
803508	G6	0.1_mg_ml	Treatment	0.17	20200825	1
803508	G7	0.1_mg_ml	Treatment	0.179	20200825	1
803509	B4	1_mg_ml	Treatment	0.384	20200825	1
803509	B5	1_mg_ml	Treatment	0.43	20200825	1
803509	B8	0.1_mg_ml	Treatment	0.19	20200825	1
803509	B9	0.1_mg_ml	Treatment	0.198	20200825	1
Y4761	C10	0.005_mg_ml	Positive_Control	0.18	20200825	1
Y4761	C11	0.005_mg_ml	Positive_Control	0.184	20200825	1
PMB	B10	0.5_mg_ml	Positive_Control	0.18	20200825	1
PMB	B11	0.5_mg_ml	Positive_Control	0.183	20200825	1
L_cre_BM7	D10	None	Negative_Control	0.184	20200825	1
L_cre_BM7	D11	None	Negative_Control	0.188	20200825	1
L_cre_BM7	E10	None	Negative_Control	0.179	20200825	1
L_cre_BM7	E11	None	Negative_Control	0.187	20200825	1
L_cre_BM7	F10	None	Negative_Control	0.169	20200825	1
