Sample_ID	Well_ID	Concentration	Type	Absorbance	Collection_date	Timepoint
L_cre_BM7	D10	None	Negative_Control	0.186	20200824	0
L_cre_BM7	D11	None	Negative_Control	0.192	20200824	0
L_cre_BM7	E10	None	Negative_Control	0.188	20200824	0
L_cre_BM7	E11	None	Negative_Control	0.186	20200824	0
L_cre_BM7	F10	None	Negative_Control	0.19	20200824	0
L_cre_BM7	F11	None	Negative_Control	0.186	20200824	0
803485	F4	1_mg_ml	Treatment	0.389	20200824	0
803485	F5	1_mg_ml	Treatment	0.464	20200824	0
803485	F8	0.1_mg_ml	Treatment	0.192	20200824	0
803485	F9	0.1_mg_ml	Treatment	0.197	20200824	0
803484	E4	1_mg_ml	Treatment	0.551	20200824	0
803484	E5	1_mg_ml	Treatment	0.556	20200824	0
803484	E8	0.1_mg_ml	Treatment	0.215	20200824	0
803484	E9	0.1_mg_ml	Treatment	0.209	20200824	0
Y4761	C10	0.005_mg_ml	Positive_Control	0.187	20200824	0
Y4761	C11	0.005_mg_ml	Positive_Control	0.193	20200824	0
PMB	B10	0.5_mg_ml	Positive_Control	0.186	20200824	0
PMB	B11	0.5_mg_ml	Positive_Control	0.195	20200824	0
803483	D4	1_mg_ml	Treatment	0.178	20200824	0
803483	D5	1_mg_ml	Treatment	0.181	20200824	0
803483	D8	0.1_mg_ml	Treatment	0.172	20200824	0
803483	D9	0.1_mg_ml	Treatment	0.178	20200824	0
803482	C4	1_mg_ml	Treatment	0.88	20200824	0
803482	C5	1_mg_ml	Treatment	0.816	20200824	0
803482	C8	0.1_mg_ml	Treatment	0.295	20200824	0
803482	C9	0.1_mg_ml	Treatment	0.26	20200824	0
803481	B4	1_mg_ml	Treatment	0.539	20200824	0
803481	B5	1_mg_ml	Treatment	0.615	20200824	0
803481	B8	0.1_mg_ml	Treatment	0.245	20200824	0
803481	B9	0.1_mg_ml	Treatment	0.228	20200824	0
803480	G2	1_mg_ml	Treatment	0.348	20200824	0
803480	G3	1_mg_ml	Treatment	0.322	20200824	0
803480	G6	0.1_mg_ml	Treatment	0.21	20200824	0
803480	G7	0.1_mg_ml	Treatment	0.214	20200824	0
803486	G4	1_mg_ml	Treatment	0.214	20200824	0
803486	G5	1_mg_ml	Treatment	0.218	20200824	0
803486	G8	0.1_mg_ml	Treatment	0.182	20200824	0
803486	G9	0.1_mg_ml	Treatment	0.186	20200824	0
803478	E2	1_mg_ml	Treatment	0.242	20200824	0
803478	E3	1_mg_ml	Treatment	0.237	20200824	0
803478	E6	0.1_mg_ml	Treatment	0.173	20200824	0
803478	E7	0.1_mg_ml	Treatment	0.17	20200824	0
803479	F2	1_mg_ml	Treatment	0.216	20200824	0
803479	F3	1_mg_ml	Treatment	0.217	20200824	0
803479	F6	0.1_mg_ml	Treatment	0.183	20200824	0
803479	F7	0.1_mg_ml	Treatment	0.183	20200824	0
803476	C2	1_mg_ml	Treatment	0.404	20200824	0
803476	C3	1_mg_ml	Treatment	0.295	20200824	0
803476	C6	0.1_mg_ml	Treatment	0.186	20200824	0
803476	C7	0.1_mg_ml	Treatment	0.191	20200824	0
803477	D2	1_mg_ml	Treatment	0.921	20200824	0
803477	D3	1_mg_ml	Treatment	0.879	20200824	0
803477	D6	0.1_mg_ml	Treatment	0.3	20200824	0
803477	D7	0.1_mg_ml	Treatment	0.237	20200824	0
803474	B2	1_mg_ml	Treatment	0.198	20200824	0
803474	B3	1_mg_ml	Treatment	0.191	20200824	0
803474	B6	0.1_mg_ml	Treatment	0.195	20200824	0
803474	B7	0.1_mg_ml	Treatment	0.192	20200824	0
BM7_only	G10	None	Blank	0.169	20200824	0
BM7_only	G11	None	Blank	0.177	20200824	0
L_cre_BM7	D10	None	Negative_Control	0.188	20200825	1
L_cre_BM7	D11	None	Negative_Control	0.191	20200825	1
L_cre_BM7	E10	None	Negative_Control	0.188	20200825	1
L_cre_BM7	E11	None	Negative_Control	0.187	20200825	1
L_cre_BM7	F10	None	Negative_Control	0.191	20200825	1
L_cre_BM7	F11	None	Negative_Control	0.191	20200825	1
803485	F4	1_mg_ml	Treatment	0.606	20200825	1
803485	F5	1_mg_ml	Treatment	0.572	20200825	1
803485	F8	0.1_mg_ml	Treatment	0.213	20200825	1
803485	F9	0.1_mg_ml	Treatment	0.218	20200825	1
803484	E4	1_mg_ml	Treatment	0.793	20200825	1
803484	E5	1_mg_ml	Treatment	0.784	20200825	1
803484	E8	0.1_mg_ml	Treatment	0.232	20200825	1
803484	E9	0.1_mg_ml	Treatment	0.208	20200825	1
Y4761	C10	0.005_mg_ml	Positive_Control	0.189	20200825	1
Y4761	C11	0.005_mg_ml	Positive_Control	0.193	20200825	1
PMB	B10	0.5_mg_ml	Positive_Control	0.188	20200825	1
PMB	B11	0.5_mg_ml	Positive_Control	0.194	20200825	1
803483	D4	1_mg_ml	Treatment	0.182	20200825	1
803483	D5	1_mg_ml	Treatment	0.183	20200825	1
803483	D8	0.1_mg_ml	Treatment	0.179	20200825	1
803483	D9	0.1_mg_ml	Treatment	0.18	20200825	1
803482	C4	1_mg_ml	Treatment	0.989	20200825	1
803482	C5	1_mg_ml	Treatment	0.924	20200825	1
803482	C8	0.1_mg_ml	Treatment	0.342	20200825	1
803482	C9	0.1_mg_ml	Treatment	0.316	20200825	1
803481	B4	1_mg_ml	Treatment	0.688	20200825	1
803481	B5	1_mg_ml	Treatment	0.751	20200825	1
803481	B8	0.1_mg_ml	Treatment	0.272	20200825	1
803481	B9	0.1_mg_ml	Treatment	0.252	20200825	1
803480	G2	1_mg_ml	Treatment	0.408	20200825	1
803480	G3	1_mg_ml	Treatment	0.391	20200825	1
803480	G6	0.1_mg_ml	Treatment	0.234	20200825	1
803480	G7	0.1_mg_ml	Treatment	0.248	20200825	1
803486	G4	1_mg_ml	Treatment	0.25	20200825	1
803486	G5	1_mg_ml	Treatment	0.26	20200825	1
803486	G8	0.1_mg_ml	Treatment	0.187	20200825	1
803486	G9	0.1_mg_ml	Treatment	0.19	20200825	1
803478	E2	1_mg_ml	Treatment	1.222	20200825	1
803478	E3	1_mg_ml	Treatment	1.278	20200825	1
803478	E6	0.1_mg_ml	Treatment	0.173	20200825	1
803478	E7	0.1_mg_ml	Treatment	0.168	20200825	1
803479	F2	1_mg_ml	Treatment	0.37	20200825	1
803479	F3	1_mg_ml	Treatment	0.384	20200825	1
803479	F6	0.1_mg_ml	Treatment	0.188	20200825	1
803479	F7	0.1_mg_ml	Treatment	0.184	20200825	1
803476	C2	1_mg_ml	Treatment	0.428	20200825	1
803476	C3	1_mg_ml	Treatment	0.307	20200825	1
803476	C6	0.1_mg_ml	Treatment	0.187	20200825	1
803476	C7	0.1_mg_ml	Treatment	0.193	20200825	1
803477	D2	1_mg_ml	Treatment	0.944	20200825	1
803477	D3	1_mg_ml	Treatment	0.944	20200825	1
803477	D6	0.1_mg_ml	Treatment	0.33	20200825	1
803477	D7	0.1_mg_ml	Treatment	0.337	20200825	1
803474	B2	1_mg_ml	Treatment	0.225	20200825	1
803474	B3	1_mg_ml	Treatment	0.216	20200825	1
803474	B6	0.1_mg_ml	Treatment	0.198	20200825	1
803474	B7	0.1_mg_ml	Treatment	0.191	20200825	1
BM7_only	G10	None	Blank	0.172	20200825	1
BM7_only	G11	None	Blank	0.18	20200825	1
L_cre_BM7	D10	None	Negative_Control	0.215	20200826	2
L_cre_BM7	D11	None	Negative_Control	0.194	20200826	2
L_cre_BM7	E10	None	Negative_Control	0.203	20200826	2
L_cre_BM7	E11	None	Negative_Control	0.19	20200826	2
L_cre_BM7	F10	None	Negative_Control	0.196	20200826	2
L_cre_BM7	F11	None	Negative_Control	0.194	20200826	2
803485	F4	1_mg_ml	Treatment	0.641	20200826	2
803485	F5	1_mg_ml	Treatment	0.628	20200826	2
