Sample_ID	Well_ID	Concentration	Type	Absorbance	Collection_date	Timepoint
Combo41	F2	1_mg_ml	Treatment	0.252	20201009	0
Combo41	F3	1_mg_ml	Treatment	0.237	20201009	0
Combo41	F6	0.1_mg_ml	Treatment	0.175	20201009	0
Combo41	F7	0.1_mg_ml	Treatment	0.183	20201009	0
BM7_only	G10	None	Blank	0.166	20201009	0
BM7_only	G11	None	Blank	0.17	20201009	0
PMB	B10	0.5_mg_ml	Positive_Control	0.186	20201009	0
PMB	B11	0.5_mg_ml	Positive_Control	0.188	20201009	0
Combo40	E2	1_mg_ml	Treatment	0.322	20201009	0
Combo40	E3	1_mg_ml	Treatment	0.35	20201009	0
Combo40	E6	0.1_mg_ml	Treatment	0.177	20201009	0
Combo40	E7	0.1_mg_ml	Treatment	0.182	20201009	0
L_cre_BM7	D10	None	Negative_Control	0.187	20201009	0
L_cre_BM7	D11	None	Negative_Control	0.19	20201009	0
L_cre_BM7	E10	None	Negative_Control	0.18	20201009	0
L_cre_BM7	E11	None	Negative_Control	0.179	20201009	0
L_cre_BM7	F10	None	Negative_Control	0.176	20201009	0
L_cre_BM7	F11	None	Negative_Control	0.187	20201009	0
Y4761	C10	0.005_mg_ml	Positive_Control	0.182	20201009	0
Y4761	C11	0.005_mg_ml	Positive_Control	0.184	20201009	0
Combo38	C2	1_mg_ml	Treatment	0.275	20201009	0
Combo38	C3	1_mg_ml	Treatment	0.323	20201009	0
Combo38	C6	0.1_mg_ml	Treatment	0.178	20201009	0
Combo38	C7	0.1_mg_ml	Treatment	0.186	20201009	0
Combo39	D2	1_mg_ml	Treatment	0.267	20201009	0
Combo39	D3	1_mg_ml	Treatment	0.269	20201009	0
Combo39	D6	0.1_mg_ml	Treatment	0.176	20201009	0
Combo39	D7	0.1_mg_ml	Treatment	0.188	20201009	0
Combo43	B4	1_mg_ml	Treatment	0.24	20201009	0
Combo43	B5	1_mg_ml	Treatment	0.24	20201009	0
Combo43	B8	0.1_mg_ml	Treatment	0.178	20201009	0
Combo43	B9	0.1_mg_ml	Treatment	0.206	20201009	0
Combo42	G2	1_mg_ml	Treatment	0.237	20201009	0
Combo42	G3	1_mg_ml	Treatment	0.23	20201009	0
Combo42	G6	0.1_mg_ml	Treatment	0.185	20201009	0
Combo42	G7	0.1_mg_ml	Treatment	0.189	20201009	0
Combo45	D4	1_mg_ml	Treatment	0.277	20201009	0
Combo45	D5	1_mg_ml	Treatment	0.262	20201009	0
Combo45	D8	0.1_mg_ml	Treatment	0.196	20201009	0
Combo45	D9	0.1_mg_ml	Treatment	0.201	20201009	0
Combo44	C4	1_mg_ml	Treatment	0.251	20201009	0
Combo44	C5	1_mg_ml	Treatment	0.238	20201009	0
Combo44	C8	0.1_mg_ml	Treatment	0.191	20201009	0
Combo44	C9	0.1_mg_ml	Treatment	0.2	20201009	0
Combo47	F4	1_mg_ml	Treatment	0.261	20201009	0
Combo47	F5	1_mg_ml	Treatment	0.223	20201009	0
Combo47	F8	0.1_mg_ml	Treatment	0.184	20201009	0
Combo47	F9	0.1_mg_ml	Treatment	0.188	20201009	0
Combo46	E4	1_mg_ml	Treatment	0.25	20201009	0
Combo46	E5	1_mg_ml	Treatment	0.236	20201009	0
Combo46	E8	0.1_mg_ml	Treatment	0.185	20201009	0
Combo46	E9	0.1_mg_ml	Treatment	0.186	20201009	0
Combo48	G4	1_mg_ml	Treatment	0.27	20201009	0
Combo48	G5	1_mg_ml	Treatment	0.252	20201009	0
Combo48	G8	0.1_mg_ml	Treatment	0.191	20201009	0
Combo48	G9	0.1_mg_ml	Treatment	0.189	20201009	0
Combo37	B2	1_mg_ml	Treatment	0.296	20201009	0
Combo37	B3	1_mg_ml	Treatment	0.297	20201009	0
Combo37	B6	0.1_mg_ml	Treatment	0.192	20201009	0
Combo37	B7	0.1_mg_ml	Treatment	0.179	20201009	0
Combo41	F2	1_mg_ml	Treatment	0.295	20201010	1
Combo41	F3	1_mg_ml	Treatment	0.283	20201010	1
Combo41	F6	0.1_mg_ml	Treatment	0.196	20201010	1
Combo41	F7	0.1_mg_ml	Treatment	0.202	20201010	1
BM7_only	G10	None	Blank	0.174	20201010	1
BM7_only	G11	None	Blank	0.174	20201010	1
PMB	B10	0.5_mg_ml	Positive_Control	0.184	20201010	1
PMB	B11	0.5_mg_ml	Positive_Control	0.183	20201010	1
Combo40	E2	1_mg_ml	Treatment	0.384	20201010	1
Combo40	E3	1_mg_ml	Treatment	0.421	20201010	1
Combo40	E6	0.1_mg_ml	Treatment	0.206	20201010	1
Combo40	E7	0.1_mg_ml	Treatment	0.199	20201010	1
L_cre_BM7	D10	None	Negative_Control	0.217	20201010	1
L_cre_BM7	D11	None	Negative_Control	0.206	20201010	1
L_cre_BM7	E10	None	Negative_Control	0.198	20201010	1
L_cre_BM7	E11	None	Negative_Control	0.203	20201010	1
L_cre_BM7	F10	None	Negative_Control	0.202	20201010	1
L_cre_BM7	F11	None	Negative_Control	0.189	20201010	1
Y4761	C10	0.005_mg_ml	Positive_Control	0.191	20201010	1
Y4761	C11	0.005_mg_ml	Positive_Control	0.188	20201010	1
Combo38	C2	1_mg_ml	Treatment	0.354	20201010	1
Combo38	C3	1_mg_ml	Treatment	0.387	20201010	1
Combo38	C6	0.1_mg_ml	Treatment	0.218	20201010	1
Combo38	C7	0.1_mg_ml	Treatment	0.214	20201010	1
Combo39	D2	1_mg_ml	Treatment	0.316	20201010	1
Combo39	D3	1_mg_ml	Treatment	0.325	20201010	1
Combo39	D6	0.1_mg_ml	Treatment	0.206	20201010	1
Combo39	D7	0.1_mg_ml	Treatment	0.217	20201010	1
Combo43	B4	1_mg_ml	Treatment	0.269	20201010	1
Combo43	B5	1_mg_ml	Treatment	0.238	20201010	1
