Sample_ID	Well_ID	Concentration	Type	Absorbance	Collection_date	Timepoint
803620	G4	1_mg_ml	Treatment	0.175	20200904	0
803620	G5	1_mg_ml	Treatment	0.177	20200904	0
803620	G8	0.1_mg_ml	Treatment	0.174	20200904	0
803620	G9	0.1_mg_ml	Treatment	0.178	20200904	0
L_cre_BM7	D10	None	Negative_Control	0.191	20200904	0
L_cre_BM7	D11	None	Negative_Control	0.191	20200904	0
L_cre_BM7	E10	None	Negative_Control	0.187	20200904	0
L_cre_BM7	E11	None	Negative_Control	0.187	20200904	0
L_cre_BM7	F10	None	Negative_Control	0.183	20200904	0
L_cre_BM7	F11	None	Negative_Control	0.185	20200904	0
Y4761	C10	0.005_mg_ml	Positive_Control	0.184	20200904	0
Y4761	C11	0.005_mg_ml	Positive_Control	0.184	20200904	0
BM7_only	G10	None	Blank	0.167	20200904	0
BM7_only	G11	None	Blank	0.164	20200904	0
803618	D4	1_mg_ml	Treatment	0.288	20200904	0
803618	D5	1_mg_ml	Treatment	0.346	20200904	0
803618	D8	0.1_mg_ml	Treatment	0.206	20200904	0
803618	D9	0.1_mg_ml	Treatment	0.208	20200904	0
803619	E4	1_mg_ml	Treatment	0.192	20200904	0
803619	E5	1_mg_ml	Treatment	0.203	20200904	0
803619	E8	0.1_mg_ml	Treatment	0.183	20200904	0
803619	E9	0.1_mg_ml	Treatment	0.177	20200904	0
PMB	B10	0.5_mg_ml	Positive_Control	0.182	20200904	0
PMB	B11	0.5_mg_ml	Positive_Control	0.185	20200904	0
731156	F4	1_mg_ml	Treatment	0.894	20200904	0
731156	F5	1_mg_ml	Treatment	1.048	20200904	0
731156	F8	0.1_mg_ml	Treatment	0.252	20200904	0
731156	F9	0.1_mg_ml	Treatment	0.261	20200904	0
803612	D2	1_mg_ml	Treatment	0.748	20200904	0
803612	D3	1_mg_ml	Treatment	0.683	20200904	0
803612	D6	0.1_mg_ml	Treatment	0.297	20200904	0
803612	D7	0.1_mg_ml	Treatment	0.265	20200904	0
803613	E2	1_mg_ml	Treatment	0.318	20200904	0
803613	E3	1_mg_ml	Treatment	0.344	20200904	0
803613	E6	0.1_mg_ml	Treatment	0.223	20200904	0
803613	E7	0.1_mg_ml	Treatment	0.219	20200904	0
803610	B2	1_mg_ml	Treatment	0.407	20200904	0
803610	B3	1_mg_ml	Treatment	0.489	20200904	0
803610	B6	0.1_mg_ml	Treatment	0.185	20200904	0
803610	B7	0.1_mg_ml	Treatment	0.183	20200904	0
803611	C2	1_mg_ml	Treatment	0.216	20200904	0
803611	C3	1_mg_ml	Treatment	0.232	20200904	0
803611	C6	0.1_mg_ml	Treatment	0.189	20200904	0
803611	C7	0.1_mg_ml	Treatment	0.182	20200904	0
803616	B4	1_mg_ml	Treatment	0.212	20200904	0
803616	B5	1_mg_ml	Treatment	0.221	20200904	0
803616	B8	0.1_mg_ml	Treatment	0.18	20200904	0
803616	B9	0.1_mg_ml	Treatment	0.195	20200904	0
803617	C4	1_mg_ml	Treatment	0.252	20200904	0
803617	C5	1_mg_ml	Treatment	0.24	20200904	0
803617	C8	0.1_mg_ml	Treatment	0.182	20200904	0
803617	C9	0.1_mg_ml	Treatment	0.198	20200904	0
803614	F2	1_mg_ml	Treatment	0.999	20200904	0
803614	F3	1_mg_ml	Treatment	1.004	20200904	0
803614	F6	0.1_mg_ml	Treatment	0.252	20200904	0
803614	F7	0.1_mg_ml	Treatment	0.221	20200904	0
803615	G2	1_mg_ml	Treatment	0.17	20200904	0
803615	G3	1_mg_ml	Treatment	0.172	20200904	0
803615	G6	0.1_mg_ml	Treatment	0.169	20200904	0
803615	G7	0.1_mg_ml	Treatment	0.175	20200904	0
803620	G4	1_mg_ml	Treatment	0.198	20200905	1
803620	G5	1_mg_ml	Treatment	0.195	20200905	1
803620	G8	0.1_mg_ml	Treatment	0.19	20200905	1
803620	G9	0.1_mg_ml	Treatment	0.187	20200905	1
L_cre_BM7	D10	None	Negative_Control	0.203	20200905	1
L_cre_BM7	D11	None	Negative_Control	0.201	20200905	1
L_cre_BM7	E10	None	Negative_Control	0.189	20200905	1
L_cre_BM7	E11	None	Negative_Control	0.194	20200905	1
L_cre_BM7	F10	None	Negative_Control	0.191	20200905	1
L_cre_BM7	F11	None	Negative_Control	0.194	20200905	1
Y4761	C10	0.005_mg_ml	Positive_Control	0.184	20200905	1
Y4761	C11	0.005_mg_ml	Positive_Control	0.187	20200905	1
BM7_only	G10	None	Blank	0.169	20200905	1
BM7_only	G11	None	Blank	0.166	20200905	1
803618	D4	1_mg_ml	Treatment	0.308	20200905	1
803618	D5	1_mg_ml	Treatment	0.394	20200905	1
803618	D8	0.1_mg_ml	Treatment	0.219	20200905	1
803618	D9	0.1_mg_ml	Treatment	0.227	20200905	1
803619	E4	1_mg_ml	Treatment	0.195	20200905	1
803619	E5	1_mg_ml	Treatment	0.198	20200905	1
803619	E8	0.1_mg_ml	Treatment	0.182	20200905	1
803619	E9	0.1_mg_ml	Treatment	0.179	20200905	1
PMB	B10	0.5_mg_ml	Positive_Control	0.183	20200905	1
PMB	B11	0.5_mg_ml	Positive_Control	0.183	20200905	1
731156	F4	1_mg_ml	Treatment	1.064	20200905	1
731156	F5	1_mg_ml	Treatment	1.239	20200905	1
731156	F8	0.1_mg_ml	Treatment	0.269	20200905	1
731156	F9	0.1_mg_ml	Treatment	0.31	20200905	1
803612	D2	1_mg_ml	Treatment	0.87	20200905	1
