Sample_ID	Well_ID	Concentration	Type	Absorbance	Collection_date	Timepoint
BM7_only	G10	None	Blank	0.17	20201106	0
BM7_only	G11	None	Blank	0.165	20201106	0
Combo81	D4	1_mg_ml	Treatment	0.322	20201106	0
Combo81	D5	1_mg_ml	Treatment	0.218	20201106	0
Combo81	D8	0.1_mg_ml	Treatment	0.208	20201106	0
Combo81	D9	0.1_mg_ml	Treatment	0.217	20201106	0
L_cre_BM7	D10	None	Negative_Control	0.208	20201106	0
L_cre_BM7	D11	None	Negative_Control	0.195	20201106	0
L_cre_BM7	E10	None	Negative_Control	0.193	20201106	0
L_cre_BM7	E11	None	Negative_Control	0.185	20201106	0
L_cre_BM7	F10	None	Negative_Control	0.191	20201106	0
L_cre_BM7	F11	None	Negative_Control	0.185	20201106	0
Y4761	C10	0.005_mg_ml	Positive_Control	0.198	20201106	0
Y4761	C11	0.005_mg_ml	Positive_Control	0.188	20201106	0
Combo80	C4	1_mg_ml	Treatment	0.272	20201106	0
Combo80	C5	1_mg_ml	Treatment	0.246	20201106	0
Combo80	C8	0.1_mg_ml	Treatment	0.202	20201106	0
Combo80	C9	0.1_mg_ml	Treatment	0.2	20201106	0
Combo74	C2	1_mg_ml	Treatment	0.291	20201106	0
Combo74	C3	1_mg_ml	Treatment	0.282	20201106	0
Combo74	C6	0.1_mg_ml	Treatment	0.206	20201106	0
Combo74	C7	0.1_mg_ml	Treatment	0.215	20201106	0
Combo75	D2	1_mg_ml	Treatment	0.31	20201106	0
Combo75	D3	1_mg_ml	Treatment	0.303	20201106	0
Combo75	D6	0.1_mg_ml	Treatment	0.193	20201106	0
Combo75	D7	0.1_mg_ml	Treatment	0.214	20201106	0
Combo76	E2	1_mg_ml	Treatment	0.266	20201106	0
Combo76	E3	1_mg_ml	Treatment	0.265	20201106	0
Combo76	E6	0.1_mg_ml	Treatment	0.208	20201106	0
Combo76	E7	0.1_mg_ml	Treatment	0.212	20201106	0
Combo77	F2	1_mg_ml	Treatment	0.284	20201106	0
Combo77	F3	1_mg_ml	Treatment	0.281	20201106	0
Combo77	F6	0.1_mg_ml	Treatment	0.209	20201106	0
Combo77	F7	0.1_mg_ml	Treatment	0.22	20201106	0
PMB	B10	0.5_mg_ml	Positive_Control	0.189	20201106	0
