Sample_ID	Well_ID	Concentration	Type	Absorbance	Collection_date	Timepoint
BM7_only	G10	None	Blank	0.174	20200824	0
BM7_only	G11	None	Blank	0.174	20200824	0
803441	B2	1_mg_ml	Treatment	0.532	20200824	0
803441	B3	1_mg_ml	Treatment	0.503	20200824	0
803441	B6	0.1_mg_ml	Treatment	0.259	20200824	0
803441	B7	0.1_mg_ml	Treatment	0.235	20200824	0
803472	F4	1_mg_ml	Treatment	0.179	20200824	0
803472	F5	1_mg_ml	Treatment	0.189	20200824	0
803472	F8	0.1_mg_ml	Treatment	0.184	20200824	0
803472	F9	0.1_mg_ml	Treatment	0.184	20200824	0
L_cre_BM7	D10	None	Negative_Control	0.187	20200824	0
L_cre_BM7	D11	None	Negative_Control	0.186	20200824	0
L_cre_BM7	E10	None	Negative_Control	0.187	20200824	0
L_cre_BM7	E11	None	Negative_Control	0.182	20200824	0
L_cre_BM7	F10	None	Negative_Control	0.187	20200824	0
L_cre_BM7	F11	None	Negative_Control	0.185	20200824	0
Y4761	C10	0.005_mg_ml	Positive_Control	0.19	20200824	0
Y4761	C11	0.005_mg_ml	Positive_Control	0.19	20200824	0
803469	C4	1_mg_ml	Treatment	0.651	20200824	0
803469	C5	1_mg_ml	Treatment	0.603	20200824	0
803469	C8	0.1_mg_ml	Treatment	0.212	20200824	0
803469	C9	0.1_mg_ml	Treatment	0.206	20200824	0
803468	B4	1_mg_ml	Treatment	0.241	20200824	0
803468	B5	1_mg_ml	Treatment	0.226	20200824	0
803468	B8	0.1_mg_ml	Treatment	0.184	20200824	0
803468	B9	0.1_mg_ml	Treatment	0.186	20200824	0
PMB	B10	0.5_mg_ml	Positive_Control	0.186	20200824	0
PMB	B11	0.5_mg_ml	Positive_Control	0.188	20200824	0
803465	E2	1_mg_ml	Treatment	0.192	20200824	0
803465	E3	1_mg_ml	Treatment	0.19	20200824	0
803465	E6	0.1_mg_ml	Treatment	0.17	20200824	0
803465	E7	0.1_mg_ml	Treatment	0.165	20200824	0
803464	D2	1_mg_ml	Treatment	0.19	20200824	0
803464	D3	1_mg_ml	Treatment	0.188	20200824	0
803464	D6	0.1_mg_ml	Treatment	0.171	20200824	0
803464	D7	0.1_mg_ml	Treatment	0.166	20200824	0
803467	G2	1_mg_ml	Treatment	0.198	20200824	0
803467	G3	1_mg_ml	Treatment	0.193	20200824	0
803467	G6	0.1_mg_ml	Treatment	0.176	20200824	0
803467	G7	0.1_mg_ml	Treatment	0.183	20200824	0
803466	F2	1_mg_ml	Treatment	0.543	20200824	0
803466	F3	1_mg_ml	Treatment	0.467	20200824	0
803466	F6	0.1_mg_ml	Treatment	0.238	20200824	0
803466	F7	0.1_mg_ml	Treatment	0.231	20200824	0
803461	C2	1_mg_ml	Treatment	0.196	20200824	0
803461	C3	1_mg_ml	Treatment	0.188	20200824	0
803461	C6	0.1_mg_ml	Treatment	0.175	20200824	0
803461	C7	0.1_mg_ml	Treatment	0.178	20200824	0
803473	G4	1_mg_ml	Treatment	0.188	20200824	0
803473	G5	1_mg_ml	Treatment	0.19	20200824	0
803473	G8	0.1_mg_ml	Treatment	0.179	20200824	0
803473	G9	0.1_mg_ml	Treatment	0.184	20200824	0
803470	D4	1_mg_ml	Treatment	0.506	20200824	0
803470	D5	1_mg_ml	Treatment	0.395	20200824	0
803470	D8	0.1_mg_ml	Treatment	0.191	20200824	0
803470	D9	0.1_mg_ml	Treatment	0.195	20200824	0
803471	E4	1_mg_ml	Treatment	0.395	20200824	0
803471	E5	1_mg_ml	Treatment	0.274	20200824	0
803471	E8	0.1_mg_ml	Treatment	0.19	20200824	0
803471	E9	0.1_mg_ml	Treatment	0.188	20200824	0
BM7_only	G10	None	Blank	0.175	20200825	1
BM7_only	G11	None	Blank	0.178	20200825	1
803441	B2	1_mg_ml	Treatment	0.556	20200825	1
803441	B3	1_mg_ml	Treatment	0.618	20200825	1
803441	B6	0.1_mg_ml	Treatment	0.298	20200825	1
803441	B7	0.1_mg_ml	Treatment	0.305	20200825	1
803472	F4	1_mg_ml	Treatment	0.181	20200825	1
803472	F5	1_mg_ml	Treatment	0.193	20200825	1
803472	F8	0.1_mg_ml	Treatment	0.185	20200825	1
803472	F9	0.1_mg_ml	Treatment	0.184	20200825	1
L_cre_BM7	D10	None	Negative_Control	0.189	20200825	1
L_cre_BM7	D11	None	Negative_Control	0.187	20200825	1
L_cre_BM7	E10	None	Negative_Control	0.189	20200825	1
L_cre_BM7	E11	None	Negative_Control	0.185	20200825	1
L_cre_BM7	F10	None	Negative_Control	0.19	20200825	1
L_cre_BM7	F11	None	Negative_Control	0.188	20200825	1
Y4761	C10	0.005_mg_ml	Positive_Control	0.191	20200825	1
Y4761	C11	0.005_mg_ml	Positive_Control	0.194	20200825	1
803469	C4	1_mg_ml	Treatment	0.762	20200825	1
803469	C5	1_mg_ml	Treatment	0.695	20200825	1
803469	C8	0.1_mg_ml	Treatment	0.222	20200825	1
803469	C9	0.1_mg_ml	Treatment	0.25	20200825	1
803468	B4	1_mg_ml	Treatment	0.257	20200825	1
803468	B5	1_mg_ml	Treatment	0.238	20200825	1
803468	B8	0.1_mg_ml	Treatment	0.196	20200825	1
803468	B9	0.1_mg_ml	Treatment	0.196	20200825	1
PMB	B10	0.5_mg_ml	Positive_Control	0.188	20200825	1
PMB	B11	0.5_mg_ml	Positive_Control	0.193	20200825	1
803465	E2	1_mg_ml	Treatment	0.247	20200825	1
803465	E3	1_mg_ml	Treatment	0.202	20200825	1
803465	E6	0.1_mg_ml	Treatment	0.173	20200825	1
803465	E7	0.1_mg_ml	Treatment	0.169	20200825	1
803464	D2	1_mg_ml	Treatment	0.191	20200825	1
803464	D3	1_mg_ml	Treatment	0.188	20200825	1
803464	D6	0.1_mg_ml	Treatment	0.17	20200825	1
803464	D7	0.1_mg_ml	Treatment	0.166	20200825	1
803467	G2	1_mg_ml	Treatment	0.2	20200825	1
803467	G3	1_mg_ml	Treatment	0.195	20200825	1
803467	G6	0.1_mg_ml	Treatment	0.182	20200825	1
803467	G7	0.1_mg_ml	Treatment	0.188	20200825	1
803466	F2	1_mg_ml	Treatment	0.713	20200825	1
803466	F3	1_mg_ml	Treatment	0.593	20200825	1
803466	F6	0.1_mg_ml	Treatment	0.264	20200825	1
803466	F7	0.1_mg_ml	Treatment	0.256	20200825	1
803461	C2	1_mg_ml	Treatment	0.2	20200825	1
803461	C3	1_mg_ml	Treatment	0.191	20200825	1
803461	C6	0.1_mg_ml	Treatment	0.178	20200825	1
803461	C7	0.1_mg_ml	Treatment	0.188	20200825	1
803473	G4	1_mg_ml	Treatment	0.202	20200825	1
803473	G5	1_mg_ml	Treatment	0.193	20200825	1
803473	G8	0.1_mg_ml	Treatment	0.186	20200825	1
803473	G9	0.1_mg_ml	Treatment	0.188	20200825	1
803470	D4	1_mg_ml	Treatment	0.653	20200825	1
803470	D5	1_mg_ml	Treatment	0.545	20200825	1
803470	D8	0.1_mg_ml	Treatment	0.192	20200825	1
803470	D9	0.1_mg_ml	Treatment	0.201	20200825	1
803471	E4	1_mg_ml	Treatment	0.621	20200825	1
803471	E5	1_mg_ml	Treatment	0.469	20200825	1
803471	E8	0.1_mg_ml	Treatment	0.194	20200825	1
803471	E9	0.1_mg_ml	Treatment	0.188	20200825	1
BM7_only	G10	None	Blank	0.177	20200826	2
BM7_only	G11	None	Blank	0.182	20200826	2
803441	B2	1_mg_ml	Treatment	0.578	20200826	2
803441	B3	1_mg_ml	Treatment	0.622	20200826	2
803441	B6	0.1_mg_ml	Treatment	0.313	20200826	2
803441	B7	0.1_mg_ml	Treatment	0.33	20200826	2
803472	F4	1_mg_ml	Treatment	0.198	20200826	2
803472	F5	1_mg_ml	Treatment	0.2	20200826	2
803472	F8	0.1_mg_ml	Treatment	0.206	20200826	2
803472	F9	0.1_mg_ml	Treatment	0.213	20200826	2
L_cre_BM7	D10	None	Negative_Control	0.207	20200826	2
L_cre_BM7	D11	None	Negative_Control	0.193	20200826	2
L_cre_BM7	E10	None	Negative_Control	0.213	20200826	2
L_cre_BM7	E11	None	Negative_Control	0.189	20200826	2
L_cre_BM7	F10	None	Negative_Control	0.198	20200826	2
L_cre_BM7	F11	None	Negative_Control	0.209	20200826	2
Y4761	C10	0.005_mg_ml	Positive_Control	0.193	20200826	2
Y4761	C11	0.005_mg_ml	Positive_Control	0.191	20200826	2
803469	C4	1_mg_ml	Treatment	0.769	20200826	2
803469	C5	1_mg_ml	Treatment	0.713	20200826	2
803469	C8	0.1_mg_ml	Treatment	0.239	20200826	2
803469	C9	0.1_mg_ml	Treatment	0.26	20200826	2
803468	B4	1_mg_ml	Treatment	0.264	20200826	2
803468	B5	1_mg_ml	Treatment	0.247	20200826	2
803468	B8	0.1_mg_ml	Treatment	0.204	20200826	2
803468	B9	0.1_mg_ml	Treatment	0.194	20200826	2
PMB	B10	0.5_mg_ml	Positive_Control	0.181	20200826	2
PMB	B11	0.5_mg_ml	Positive_Control	0.193	20200826	2
803465	E2	1_mg_ml	Treatment	0.281	20200826	2
803465	E3	1_mg_ml	Treatment	0.215	20200826	2
803465	E6	0.1_mg_ml	Treatment	0.183	20200826	2
803465	E7	0.1_mg_ml	Treatment	0.182	20200826	2
803464	D2	1_mg_ml	Treatment	0.19	20200826	2
803464	D3	1_mg_ml	Treatment	0.188	20200826	2
803464	D6	0.1_mg_ml	Treatment	0.203	20200826	2
803464	D7	0.1_mg_ml	Treatment	0.174	20200826	2
803467	G2	1_mg_ml	Treatment	0.202	20200826	2
803467	G3	1_mg_ml	Treatment	0.199	20200826	2
803467	G6	0.1_mg_ml	Treatment	0.204	20200826	2
803467	G7	0.1_mg_ml	Treatment	0.195	20200826	2
803466	F2	1_mg_ml	Treatment	0.734	20200826	2
803466	F3	1_mg_ml	Treatment	0.613	20200826	2
803466	F6	0.1_mg_ml	Treatment	0.279	20200826	2
803466	F7	0.1_mg_ml	Treatment	0.271	20200826	2
803461	C2	1_mg_ml	Treatment	0.206	20200826	2
803461	C3	1_mg_ml	Treatment	0.194	20200826	2
803461	C6	0.1_mg_ml	Treatment	0.214	20200826	2
803461	C7	0.1_mg_ml	Treatment	0.226	20200826	2
803473	G4	1_mg_ml	Treatment	0.221	20200826	2
803473	G5	1_mg_ml	Treatment	0.2	20200826	2
803473	G8	0.1_mg_ml	Treatment	0.212	20200826	2
803473	G9	0.1_mg_ml	Treatment	0.205	20200826	2
803470	D4	1_mg_ml	Treatment	0.68	20200826	2
803470	D5	1_mg_ml	Treatment	0.576	20200826	2
803470	D8	0.1_mg_ml	Treatment	0.203	20200826	2
803470	D9	0.1_mg_ml	Treatment	0.211	20200826	2
803471	E4	1_mg_ml	Treatment	0.625	20200826	2
803471	E5	1_mg_ml	Treatment	0.472	20200826	2
803471	E8	0.1_mg_ml	Treatment	0.223	20200826	2
803471	E9	0.1_mg_ml	Treatment	0.209	20200826	2
BM7_only	G10	None	Blank	0.176	20200827	3
BM7_only	G11	None	Blank	0.184	20200827	3
803441	B2	1_mg_ml	Treatment	0.609	20200827	3
803441	B3	1_mg_ml	Treatment	0.627	20200827	3
803441	B6	0.1_mg_ml	Treatment	0.346	20200827	3
803441	B7	0.1_mg_ml	Treatment	0.336	20200827	3
803472	F4	1_mg_ml	Treatment	0.197	20200827	3
803472	F5	1_mg_ml	Treatment	0.211	20200827	3
803472	F8	0.1_mg_ml	Treatment	0.26	20200827	3
803472	F9	0.1_mg_ml	Treatment	0.27	20200827	3
L_cre_BM7	D10	None	Negative_Control	0.245	20200827	3
L_cre_BM7	D11	None	Negative_Control	0.203	20200827	3
L_cre_BM7	E10	None	Negative_Control	0.256	20200827	3
L_cre_BM7	E11	None	Negative_Control	0.218	20200827	3
L_cre_BM7	F10	None	Negative_Control	0.206	20200827	3
L_cre_BM7	F11	None	Negative_Control	0.257	20200827	3
Y4761	C10	0.005_mg_ml	Positive_Control	0.191	20200827	3
Y4761	C11	0.005_mg_ml	Positive_Control	0.193	20200827	3
803469	C4	1_mg_ml	Treatment	0.794	20200827	3
803469	C5	1_mg_ml	Treatment	0.725	20200827	3
803469	C8	0.1_mg_ml	Treatment	0.255	20200827	3
803469	C9	0.1_mg_ml	Treatment	0.285	20200827	3
803468	B4	1_mg_ml	Treatment	0.283	20200827	3
803468	B5	1_mg_ml	Treatment	0.309	20200827	3
803468	B8	0.1_mg_ml	Treatment	0.215	20200827	3
803468	B9	0.1_mg_ml	Treatment	0.211	20200827	3
PMB	B10	0.5_mg_ml	Positive_Control	0.187	20200827	3
PMB	B11	0.5_mg_ml	Positive_Control	0.192	20200827	3
803465	E2	1_mg_ml	Treatment	0.305	20200827	3
803465	E3	1_mg_ml	Treatment	0.237	20200827	3
803465	E6	0.1_mg_ml	Treatment	0.193	20200827	3
803465	E7	0.1_mg_ml	Treatment	0.194	20200827	3
803464	D2	1_mg_ml	Treatment	0.2	20200827	3
803464	D3	1_mg_ml	Treatment	0.217	20200827	3
803464	D6	0.1_mg_ml	Treatment	0.28	20200827	3
803464	D7	0.1_mg_ml	Treatment	0.207	20200827	3
803467	G2	1_mg_ml	Treatment	0.205	20200827	3
803467	G3	1_mg_ml	Treatment	0.204	20200827	3
803467	G6	0.1_mg_ml	Treatment	0.236	20200827	3
803467	G7	0.1_mg_ml	Treatment	0.208	20200827	3
803466	F2	1_mg_ml	Treatment	0.781	20200827	3
803466	F3	1_mg_ml	Treatment	0.661	20200827	3
803466	F6	0.1_mg_ml	Treatment	0.302	20200827	3
803466	F7	0.1_mg_ml	Treatment	0.297	20200827	3
803461	C2	1_mg_ml	Treatment	0.216	20200827	3
803461	C3	1_mg_ml	Treatment	0.208	20200827	3
803461	C6	0.1_mg_ml	Treatment	0.279	20200827	3
803461	C7	0.1_mg_ml	Treatment	0.3	20200827	3
803473	G4	1_mg_ml	Treatment	0.244	20200827	3
803473	G5	1_mg_ml	Treatment	0.207	20200827	3
803473	G8	0.1_mg_ml	Treatment	0.262	20200827	3
803473	G9	0.1_mg_ml	Treatment	0.229	20200827	3
803470	D4	1_mg_ml	Treatment	0.684	20200827	3
803470	D5	1_mg_ml	Treatment	0.583	20200827	3
803470	D8	0.1_mg_ml	Treatment	0.223	20200827	3
803470	D9	0.1_mg_ml	Treatment	0.225	20200827	3
803471	E4	1_mg_ml	Treatment	0.617	20200827	3
803471	E5	1_mg_ml	Treatment	0.473	20200827	3
803471	E8	0.1_mg_ml	Treatment	0.253	20200827	3
803471	E9	0.1_mg_ml	Treatment	0.234	20200827	3
BM7_only	G10	None	Blank	0.179	20200828	4
BM7_only	G11	None	Blank	0.186	20200828	4
803441	B2	1_mg_ml	Treatment	0.654	20200828	4
803441	B3	1_mg_ml	Treatment	0.639	20200828	4
803441	B6	0.1_mg_ml	Treatment	0.381	20200828	4
803441	B7	0.1_mg_ml	Treatment	0.365	20200828	4
803472	F4	1_mg_ml	Treatment	0.242	20200828	4
803472	F5	1_mg_ml	Treatment	0.275	20200828	4
803472	F8	0.1_mg_ml	Treatment	0.395	20200828	4
803472	F9	0.1_mg_ml	Treatment	0.406	20200828	4
L_cre_BM7	D10	None	Negative_Control	0.349	20200828	4
L_cre_BM7	D11	None	Negative_Control	0.244	20200828	4
L_cre_BM7	E10	None	Negative_Control	0.372	20200828	4
L_cre_BM7	E11	None	Negative_Control	0.301	20200828	4
L_cre_BM7	F10	None	Negative_Control	0.24	20200828	4
L_cre_BM7	F11	None	Negative_Control	0.358	20200828	4
Y4761	C10	0.005_mg_ml	Positive_Control	0.189	20200828	4
Y4761	C11	0.005_mg_ml	Positive_Control	0.189	20200828	4
803469	C4	1_mg_ml	Treatment	0.811	20200828	4
803469	C5	1_mg_ml	Treatment	0.746	20200828	4
803469	C8	0.1_mg_ml	Treatment	0.295	20200828	4
803469	C9	0.1_mg_ml	Treatment	0.327	20200828	4
803468	B4	1_mg_ml	Treatment	0.333	20200828	4
803468	B5	1_mg_ml	Treatment	0.308	20200828	4
803468	B8	0.1_mg_ml	Treatment	0.242	20200828	4
803468	B9	0.1_mg_ml	Treatment	0.248	20200828	4
PMB	B10	0.5_mg_ml	Positive_Control	0.184	20200828	4
PMB	B11	0.5_mg_ml	Positive_Control	0.194	20200828	4
803465	E2	1_mg_ml	Treatment	0.375	20200828	4
803465	E3	1_mg_ml	Treatment	0.295	20200828	4
803465	E6	0.1_mg_ml	Treatment	0.318	20200828	4
803465	E7	0.1_mg_ml	Treatment	0.297	20200828	4
803464	D2	1_mg_ml	Treatment	0.235	20200828	4
803464	D3	1_mg_ml	Treatment	0.28	20200828	4
803464	D6	0.1_mg_ml	Treatment	0.442	20200828	4
803464	D7	0.1_mg_ml	Treatment	0.404	20200828	4
803467	G2	1_mg_ml	Treatment	0.23	20200828	4
803467	G3	1_mg_ml	Treatment	0.236	20200828	4
803467	G6	0.1_mg_ml	Treatment	0.386	20200828	4
